Match Number ,Team Number,Autozone Totes,Moved Into Auto Zone,Bins Retrieved from Step,Stacks,Binned Stacks,Noodled Stacks,Coop Totes Placed,Intake Human,Intake Landfill,Number of Capped Stacks 1,Number of Capped Stacks 2,Number of Capped Stacks 3,Number of Capped Stacks 4,Number of Capped Stacks 5,Number of Capped Stacks 6,Number of Stacks 1,Number of Stacks 2,Number of Stacks 3,Number of Stacks 4,Number of Stacks 5,Number of Stacks 6
1,3859,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1671,0,0,0,3,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2
1,5012,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1,3476,0,1,0,5,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3
1,649,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
1,254,3,1,0,3,3,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,3
2,1678,3,1,0,3,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0
2,1983,0,0,0,3,2,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,2
2,115,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,4543,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,841,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0
2,766,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
3,5499,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,846,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
3,2073,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
3,604,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,399,0,0,0,4,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
3,1836,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
4,971,0,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
4,3309,3,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0
4,3256,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
4,1868,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
4,696,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1351,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
5,670,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
5,2085,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,5026,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,968,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,973,0,0,0,4,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3
5,2135,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6,687,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,1351,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
6,1983,0,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
6,5012,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
6,3309,3,1,0,4,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,2,0
6,115,0,0,0,2,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2
7,1678,3,1,0,2,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0
7,2135,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,670,0,0,0,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
7,649,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0
7,2073,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
7,1836,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1671,0,0,0,4,3,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3
8,841,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
8,2085,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
8,1868,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,846,0,0,0,2,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
8,971,0,1,0,3,3,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,2
9,696,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9,5499,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9,4543,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9,968,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5026,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,254,3,1,0,4,3,2,0,1,1,0,0,0,0,0,3,0,0,0,0,0,3
10,604,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,604,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,687,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
10,687,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
10,3256,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
10,3859,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,973,0,0,0,3,3,2,0,0,1,0,0,0,0,1,2,0,0,0,0,1,2
10,766,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,696,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3476,0,0,0,4,4,4,0,1,0,0,0,0,0,0,4,0,0,0,0,0,4
11,2135,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11,399,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11,1836,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
11,1678,3,1,0,4,4,3,0,1,0,0,0,0,0,4,0,0,0,0,0,4,0
12,604,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
12,1671,0,0,0,3,3,3,0,1,0,0,0,0,0,1,2,0,0,0,0,1,2
12,841,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
12,846,0,0,0,2,2,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0
12,3309,0,0,0,2,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0
12,687,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2085,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
13,1351,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
13,4543,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,973,0,0,0,3,3,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3
13,2073,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
13,766,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5499,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3859,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,968,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
15,399,0,0,0,2,2,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0
15,3256,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0
15,670,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,254,3,0,0,3,3,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3
15,5012,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16,649,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
16,5026,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1868,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
16,1671,0,0,0,3,3,2,0,1,0,0,1,0,0,0,2,0,1,0,0,0,2
16,1983,0,0,0,3,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2
17,687,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,399,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
17,5499,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
17,670,0,0,0,1,1,1,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0
17,1678,3,0,0,3,3,2,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0
18,968,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,846,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1
18,1351,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2135,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
18,4543,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,5026,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,649,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0
19,696,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
19,1836,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,971,0,0,0,3,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3
20,2073,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,254,3,1,0,4,4,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
20,3256,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
20,3476,0,0,0,4,3,1,0,1,0,0,0,1,0,0,2,0,0,1,0,1,2
20,3309,0,0,0,3,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0
21,841,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
21,604,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
21,3859,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1983,0,0,0,3,2,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
21,1836,0,0,0,2,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0
22,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,649,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
22,973,0,1,0,3,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2
22,766,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
22,846,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
23,696,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
23,115,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,3256,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
23,687,0,0,0,22,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
23,2085,0,0,0,2,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2
24,5499,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
24,254,3,1,0,3,3,1,3,1,0,0,0,0,0,0,3,0,0,0,0,0,3
24,670,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
24,1351,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
24,3309,0,0,0,2,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0
24,841,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
25,1983,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
25,2135,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
25,971,0,1,0,2,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2
25,399,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
25,3476,0,0,0,4,4,4,0,1,0,0,0,0,0,0,4,0,0,0,0,0,4
25,3476,0,0,0,4,4,4,0,1,0,0,0,0,0,0,4,0,0,0,0,0,4
25,4543,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,968,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
26,5012,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
26,1671,0,0,0,2,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
26,604,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
26,5026,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
26,687,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,670,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
27,766,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,1678,3,1,0,3,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0
27,971,0,1,2,2,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2
27,3476,0,0,0,3,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3
27,1351,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
28,3859,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
