Match Number ,Team Number,Autozone Totes,Moved Into Auto Zone,Bins Retrieved from Step,Stacks,Binned Stacks,Noodled Stacks,Coop Totes Placed,Intake Human,Intake Landfill,Number of Capped Stacks 1,Number of Capped Stacks 2,Number of Capped Stacks 3,Number of Capped Stacks 4,Number of Capped Stacks 5,Number of Capped Stacks 6,Number of Stacks 1,Number of Stacks 2,Number of Stacks 3,Number of Stacks 4,Number of Stacks 5,Number of Stacks 6
28,604,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
28,5026,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,4543,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,846,0,0,0,3,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0
28,3309,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
29,1836,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
29,973,0,0,0,3,2,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,2
29,115,0,0,0,2,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2
29,1671,0,0,0,3,3,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3
29,399,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
29,696,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
30,1983,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,968,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30,3256,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,649,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0
30,841,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
30,2073,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
31,2085,0,0,0,2,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2
31,254,3,0,0,3,3,2,0,0,1,0,0,0,0,1,2,0,0,0,0,1,2
31,1868,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31,5012,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2135,0,1,0,10,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
31,5499,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,846,0,0,0,2,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2
32,3859,0,1,0,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,649,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
32,696,0,0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
32,399,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
32,3309,3,0,0,2,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0
33,4543,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
33,687,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
33,254,3,1,0,4,3,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,4
33,1868,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
33,1836,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
33,841,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
34,1983,0,0,0,2,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2
34,670,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
34,766,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,604,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1671,0,0,0,3,3,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3
34,3476,0,0,0,4,4,2,0,1,0,0,0,0,0,0,4,0,0,0,0,0,4
35,2135,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
35,5499,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,973,0,0,0,3,3,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,3
35,968,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,115,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
35,971,0,1,0,2,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2
36,5026,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
36,2085,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
36,1351,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3256,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
36,1678,3,1,0,3,3,3,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0
36,5012,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
37,604,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,670,0,1,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
37,2073,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
37,973,0,0,0,3,3,2,0,1,1,0,0,0,0,0,3,0,0,0,0,0,3
37,115,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
37,971,0,1,2,3,3,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,2
38,687,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3476,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
38,4543,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
38,1671,0,0,0,3,3,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3
38,3256,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1
38,5499,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,841,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
39,2135,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
39,1351,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0
39,968,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,649,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0
39,399,0,0,0,5,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0
40,3859,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1678,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2
40,1983,0,0,0,3,2,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,2
40,1868,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
40,696,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
40,2085,0,0,0,2,2,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
41,766,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,3309,3,1,0,2,2,1,0,1,1,0,0,0,0,2,0,0,0,0,0,2,0
41,2073,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
41,5012,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
41,1836,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
41,5026,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
42,3476,0,0,0,4,4,3,0,1,0,0,0,0,0,0,4,0,0,0,0,0,4
42,2135,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
42,687,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,846,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
42,254,3,1,0,3,3,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3
42,2085,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
43,649,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0
43,1678,3,0,0,3,3,2,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0
43,4543,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
43,5499,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1351,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
43,604,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
44,696,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,971,0,0,2,3,3,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3
44,5012,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,846,0,0,0,5,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2
44,1983,0,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
44,2073,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
45,968,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
45,254,3,1,0,11,4,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,4
45,1836,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1
45,115,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
45,766,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
45,3256,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
46,1868,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
46,1868,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,973,0,0,0,3,3,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3
46,670,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
46,399,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
46,3309,0,0,0,3,2,0,0,1,0,0,0,0,0,2,0,0,0,0,1,2,0
47,3859,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,115,0,0,0,3,2,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,2
47,2135,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
47,841,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
47,5026,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,2073,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
48,766,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
48,399,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
48,766,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
48,4543,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
48,649,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
48,2085,0,0,0,4,2,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
48,3309,0,0,0,2,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0
49,1868,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3256,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,670,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
49,968,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
49,1836,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
49,846,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1678,0,0,0,3,3,3,0,1,0,0,0,0,0,2,1,0,0,0,0,2,1
50,5026,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
50,687,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50,971,0,1,0,5,3,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3
50,1983,0,0,0,2,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
50,3476,0,0,0,4,3,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3
51,604,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,841,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
51,254,0,0,0,5,4,1,0,1,1,0,0,0,0,0,4,0,0,0,0,0,5
51,696,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
51,696,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
51,5012,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
51,973,0,0,2,4,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2
52,5499,0,0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0
52,1836,0,0,0,3,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0
52,1671,0,0,0,3,3,2,0,1,0,0,0,0,0,1,2,0,0,0,0,1,2
52,3859,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
52,1351,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,971,0,1,1,3,3,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,2
53,2085,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,670,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
53,604,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
53,4543,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2085,0,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
53,649,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
54,5499,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,841,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
54,5012,0,1,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
54,696,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
54,3309,3,1,0,3,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0
54,3476,0,0,0,3,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2
